global_neuron_idx,local_neuron_idx,sae_idx,sae_config,correlation,p_value,abs_correlation
170,170,0,"(256, 8)",-0.13079870292181778,8.562671696392921e-25,0.13079870292181778
180,180,0,"(256, 8)",-0.13065032799132226,9.673727948649505e-25,0.13065032799132226
253,253,0,"(256, 8)",0.13042156389884474,1.1672545669707656e-24,0.13042156389884474
119,119,0,"(256, 8)",-0.12990022619824054,1.7886245406730663e-24,0.12990022619824054
66,66,0,"(256, 8)",-0.12953141939383406,2.416502775492684e-24,0.12953141939383406
242,242,0,"(256, 8)",0.12876721021322213,4.495164894514689e-24,0.12876721021322213
56,56,0,"(256, 8)",-0.1286978030895834,4.7549646366870754e-24,0.1286978030895834
51,51,0,"(256, 8)",-0.12841368666233088,5.982679578939072e-24,0.12841368666233088
199,199,0,"(256, 8)",-0.12764408287332252,1.1116477553492815e-23,0.12764408287332252
233,233,0,"(256, 8)",0.12731217540885675,1.4504526601330627e-23,0.12731217540885675
265,9,1,"(128, 6)",-0.1270867408009777,1.737012788636865e-23,0.1270867408009777
442,58,2,"(64, 4)",-0.12584680525859498,4.6553487201919505e-23,0.12584680525859498
226,226,0,"(256, 8)",-0.12569390042589468,5.253584459288502e-23,0.12569390042589468
418,34,2,"(64, 4)",-0.12546988504618783,6.269891430226759e-23,0.12546988504618783
222,222,0,"(256, 8)",0.12546928812762315,6.272844049206292e-23,0.12546928812762315
358,102,1,"(128, 6)",-0.1254050429756049,6.598806978363167e-23,0.1254050429756049
181,181,0,"(256, 8)",-0.12531250778830538,7.097972583731465e-23,0.12531250778830538
109,109,0,"(256, 8)",-0.12440498589381369,1.4469969747877651e-22,0.12440498589381369
289,33,1,"(128, 6)",-0.12375384515809383,2.404423906915434e-22,0.12375384515809383
362,106,1,"(128, 6)",0.12360547508111097,2.6983654648911417e-22,0.12360547508111097
121,121,0,"(256, 8)",-0.12310561134855351,3.975647038942273e-22,0.12310561134855351
36,36,0,"(256, 8)",-0.12303408346089723,4.201799451510152e-22,0.12303408346089723
196,196,0,"(256, 8)",0.12298967056399003,4.348578444514002e-22,0.12298967056399003
186,186,0,"(256, 8)",-0.12238753412476952,6.918036369604554e-22,0.12238753412476952
285,29,1,"(128, 6)",-0.12234615853068351,7.141697674567921e-22,0.12234615853068351
72,72,0,"(256, 8)",-0.12227069186138304,7.568218635217529e-22,0.12227069186138304
360,104,1,"(128, 6)",0.12150725916906091,1.3581877370951399e-21,0.12150725916906091
371,115,1,"(128, 6)",-0.12118674364278448,1.7342240039841536e-21,0.12118674364278448
299,43,1,"(128, 6)",-0.12089160260544364,2.1706868895559937e-21,0.12089160260544364
116,116,0,"(256, 8)",0.12081491321478538,2.3008602508028627e-21,0.12081491321478538
33,33,0,"(256, 8)",-0.12057967405061173,2.750260985256247e-21,0.12057967405061173
16,16,0,"(256, 8)",-0.12027579206025225,3.461321561369773e-21,0.12027579206025225
169,169,0,"(256, 8)",0.12015986693841385,3.778093874784205e-21,0.12015986693841385
188,188,0,"(256, 8)",-0.11923083413788017,7.598358264313157e-21,0.11923083413788017
414,30,2,"(64, 4)",-0.11863581526363631,1.1852848450730505e-20,0.11863581526363631
343,87,1,"(128, 6)",-0.11856740643760162,1.2472723153523472e-20,0.11856740643760162
